082 l 1 b 1;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=34,24,10,30;Wirzbięta-05u_PT11_570 l 1 b 1; ※
082 l 1 b 2;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=55,24,22,30;Wirzbięta-05u_PT11_570 l 1 b 2; ※
082 l 1 b 3;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=89,24,16,30;Wirzbięta-05u_PT11_570 l 1 b 3; ※
082 l 1 b 4;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=117,24,22,30;Wirzbięta-05u_PT11_570 l 1 b 4; ※
082 l 1 b 5;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=150,24,15,30;Wirzbięta-05u_PT11_570 l 1 b 5; ※
082 l 1 b 6;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=175,24,12,30;Wirzbięta-05u_PT11_570 l 1 b 6; ※
082 l 1 b 7;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=199,24,22,30;Wirzbięta-05u_PT11_570 l 1 b 7; ※
082 l 1 b 8;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=229,24,15,30;Wirzbięta-05u_PT11_570 l 1 b 8; ※
082 l 1 b 9;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=255,24,15,30;Wirzbięta-05u_PT11_570 l 1 b 9; ※
082 l 1 b 10;file:Wirzbięta-05u_PT11_570.djvu?djvuopts=&page=1&highlight=287,24,10,30;Wirzbięta-05u_PT11_570 l 1 b 10; ※
