071 l 1 b 1;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=51,346,111,144;Ungler2-22_PT07_362 l 1 b 1; ※
071 l 1 b 2;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=164,346,95,144;Ungler2-22_PT07_362 l 1 b 2; ※
071 l 1 b 3;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=279,346,107,144;Ungler2-22_PT07_362 l 1 b 3; ※
071 l 1 b 4;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=402,346,112,144;Ungler2-22_PT07_362 l 1 b 4; ※
071 l 1 b 5;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=535,346,102,144;Ungler2-22_PT07_362 l 1 b 5; ※
071 l 1 b 6;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=655,346,103,144;Ungler2-22_PT07_362 l 1 b 6; ※
071 l 1 b 7;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=775,346,54,144;Ungler2-22_PT07_362 l 1 b 7; ※
071 l 1 b 8;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=851,346,103,144;Ungler2-22_PT07_362 l 1 b 8; ※
071 l 1 b 9;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=969,346,133,144;Ungler2-22_PT07_362 l 1 b 9; ※
071 l 1 b 10;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1122,346,118,144;Ungler2-22_PT07_362 l 1 b 10; ※
071 l 1 b 11;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1253,346,82,144;Ungler2-22_PT07_362 l 1 b 11; ※
071 l 1 b 12;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1346,346,113,144;Ungler2-22_PT07_362 l 1 b 12; ※
071 l 1 b 13;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1476,346,65,144;Ungler2-22_PT07_362 l 1 b 13; ※
071 l 1 b 14;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1545,346,119,144;Ungler2-22_PT07_362 l 1 b 14; ※
071 l 2 b 1;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=50,172,48,164;Ungler2-22_PT07_362 l 2 b 1; ※
071 l 2 b 2;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=115,172,47,164;Ungler2-22_PT07_362 l 2 b 2; ※
071 l 2 b 3;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=170,172,70,164;Ungler2-22_PT07_362 l 2 b 3; ※
071 l 2 b 4;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=256,172,56,164;Ungler2-22_PT07_362 l 2 b 4; ※
071 l 2 b 5;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=325,172,90,164;Ungler2-22_PT07_362 l 2 b 5; ※
071 l 2 b 6;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=430,172,79,164;Ungler2-22_PT07_362 l 2 b 6; ※
071 l 2 b 7;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=512,172,53,164;Ungler2-22_PT07_362 l 2 b 7; ※
071 l 2 b 8;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=577,172,46,164;Ungler2-22_PT07_362 l 2 b 8; ※
071 l 2 b 9;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=639,172,46,164;Ungler2-22_PT07_362 l 2 b 9; ※
071 l 2 b 10;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=700,172,46,164;Ungler2-22_PT07_362 l 2 b 10; ※
071 l 2 b 11;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=756,172,65,164;Ungler2-22_PT07_362 l 2 b 11; ※
071 l 2 b 12;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=838,172,75,164;Ungler2-22_PT07_362 l 2 b 12; ※
071 l 2 b 13;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=930,172,40,164;Ungler2-22_PT07_362 l 2 b 13; ※
071 l 2 b 14;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=990,172,40,164;Ungler2-22_PT07_362 l 2 b 14; ※
071 l 2 b 15;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1048,172,104,164;Ungler2-22_PT07_362 l 2 b 15; ※
071 l 2 b 16;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1173,172,71,164;Ungler2-22_PT07_362 l 2 b 16; ※
071 l 2 b 17;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1260,172,56,164;Ungler2-22_PT07_362 l 2 b 17; ※
071 l 2 b 18;file:Ungler2-22_PT07_362.djvu?djvuopts=&page=1&highlight=1328,172,73,164;Ungler2-22_PT07_362 l 2 b 18; ※
