042 l 1 b 1;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=38,517,49,69;Ungler1-01_PT03_112 l 1 b 1; ※
042 l 1 b 2;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=128,517,57,69;Ungler1-01_PT03_112 l 1 b 2; ※
042 l 1 b 3;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=220,517,39,69;Ungler1-01_PT03_112 l 1 b 3; ※
042 l 1 b 4;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=296,517,56,69;Ungler1-01_PT03_112 l 1 b 4; ※
042 l 1 b 5;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=388,517,31,69;Ungler1-01_PT03_112 l 1 b 5; ※
042 l 1 b 6;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=457,517,25,69;Ungler1-01_PT03_112 l 1 b 6; ※
042 l 1 b 7;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=515,517,10,69;Ungler1-01_PT03_112 l 1 b 7; ※
042 l 1 b 8;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=527,517,44,69;Ungler1-01_PT03_112 l 1 b 8; ※
042 l 1 b 9;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=604,517,37,69;Ungler1-01_PT03_112 l 1 b 9; ※
042 l 1 b 10;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=675,517,40,69;Ungler1-01_PT03_112 l 1 b 10; ※
042 l 1 b 11;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=757,517,42,69;Ungler1-01_PT03_112 l 1 b 11; ※
042 l 1 b 12;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=837,517,68,69;Ungler1-01_PT03_112 l 1 b 12; ※
042 l 1 b 13;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=938,517,54,69;Ungler1-01_PT03_112 l 1 b 13; ※
042 l 1 b 14;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1026,517,42,69;Ungler1-01_PT03_112 l 1 b 14; ※
042 l 1 b 15;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1106,517,66,69;Ungler1-01_PT03_112 l 1 b 15; ※
042 l 1 b 16;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1212,517,61,69;Ungler1-01_PT03_112 l 1 b 16; ※
042 l 1 b 17;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1310,517,59,69;Ungler1-01_PT03_112 l 1 b 17; ※
042 l 1 b 18;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1402,517,53,69;Ungler1-01_PT03_112 l 1 b 18; ※
042 l 1 b 19;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1494,517,53,69;Ungler1-01_PT03_112 l 1 b 19; ※
042 l 1 b 20;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1586,517,53,69;Ungler1-01_PT03_112 l 1 b 20; ※
042 l 1 b 21;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1678,517,34,69;Ungler1-01_PT03_112 l 1 b 21; ※
042 l 2 b 1;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=45,408,21,66;Ungler1-01_PT03_112 l 2 b 1; ※
042 l 2 b 2;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=98,408,24,66;Ungler1-01_PT03_112 l 2 b 2; ※
042 l 2 b 3;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=152,408,27,66;Ungler1-01_PT03_112 l 2 b 3; ※
042 l 2 b 4;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=213,408,24,66;Ungler1-01_PT03_112 l 2 b 4; ※
042 l 2 b 5;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=272,408,17,66;Ungler1-01_PT03_112 l 2 b 5; ※
042 l 2 b 6;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=324,408,25,66;Ungler1-01_PT03_112 l 2 b 6; ※
042 l 2 b 7;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=383,408,26,66;Ungler1-01_PT03_112 l 2 b 7; ※
042 l 2 b 8;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=444,408,21,66;Ungler1-01_PT03_112 l 2 b 8; ※
042 l 2 b 9;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=497,408,19,66;Ungler1-01_PT03_112 l 2 b 9; ※
042 l 2 b 10;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=553,408,20,66;Ungler1-01_PT03_112 l 2 b 10; ※
042 l 2 b 11;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=601,408,31,66;Ungler1-01_PT03_112 l 2 b 11; ※
042 l 2 b 12;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=663,408,30,66;Ungler1-01_PT03_112 l 2 b 12; ※
042 l 2 b 13;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=725,408,30,66;Ungler1-01_PT03_112 l 2 b 13; ※
042 l 2 b 14;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=790,408,27,66;Ungler1-01_PT03_112 l 2 b 14; ※
042 l 2 b 15;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=856,408,11,66;Ungler1-01_PT03_112 l 2 b 15; ※
042 l 2 b 16;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=900,408,10,66;Ungler1-01_PT03_112 l 2 b 16; ※
042 l 2 b 17;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=946,408,13,66;Ungler1-01_PT03_112 l 2 b 17; ※
042 l 2 b 18;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=995,408,24,66;Ungler1-01_PT03_112 l 2 b 18; ※
042 l 2 b 19;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1053,408,27,66;Ungler1-01_PT03_112 l 2 b 19; ※
042 l 2 b 20;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1113,408,11,66;Ungler1-01_PT03_112 l 2 b 20; ※
042 l 2 b 21;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1157,408,21,66;Ungler1-01_PT03_112 l 2 b 21; ※
042 l 2 b 22;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1212,408,42,66;Ungler1-01_PT03_112 l 2 b 22; ※
042 l 2 b 23;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1288,408,45,66;Ungler1-01_PT03_112 l 2 b 23; ※
042 l 2 b 24;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1363,408,26,66;Ungler1-01_PT03_112 l 2 b 24; ※
042 l 2 b 25;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1420,408,27,66;Ungler1-01_PT03_112 l 2 b 25; ※
042 l 2 b 26;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1479,408,28,66;Ungler1-01_PT03_112 l 2 b 26; ※
042 l 2 b 27;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1537,408,23,66;Ungler1-01_PT03_112 l 2 b 27; ※
042 l 2 b 28;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1592,408,26,66;Ungler1-01_PT03_112 l 2 b 28; ※
042 l 2 b 29;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=1650,408,29,66;Ungler1-01_PT03_112 l 2 b 29; ※
042 l 3 b 1;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=41,299,27,67;Ungler1-01_PT03_112 l 3 b 1; ※
042 l 3 b 2;file:Ungler1-01_PT03_112.djvu?djvuopts=&page=1&highlight=102,299,26,67;Ungler1-01_PT03_112 l 3 b 2; ※
