058 l 1 b 1;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=31,342,52,76;Ungler2-09_PT05_244 l 1 b 1; ※
058 l 1 b 2;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=99,342,45,76;Ungler2-09_PT05_244 l 1 b 2; ※
058 l 1 b 3;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=158,342,40,76;Ungler2-09_PT05_244 l 1 b 3; ※
058 l 1 b 4;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=217,342,44,76;Ungler2-09_PT05_244 l 1 b 4; ※
058 l 1 b 5;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=280,342,37,76;Ungler2-09_PT05_244 l 1 b 5; ※
058 l 1 b 6;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=335,342,54,76;Ungler2-09_PT05_244 l 1 b 6; ※
058 l 1 b 7;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=400,342,39,76;Ungler2-09_PT05_244 l 1 b 7; ※
058 l 1 b 8;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=454,342,45,76;Ungler2-09_PT05_244 l 1 b 8; ※
058 l 1 b 9;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=512,342,45,76;Ungler2-09_PT05_244 l 1 b 9; ※
058 l 1 b 10;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=573,342,49,76;Ungler2-09_PT05_244 l 1 b 10; ※
058 l 1 b 11;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=637,342,48,76;Ungler2-09_PT05_244 l 1 b 11; ※
058 l 1 b 12;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=692,342,48,76;Ungler2-09_PT05_244 l 1 b 12; ※
058 l 1 b 13;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=757,342,36,76;Ungler2-09_PT05_244 l 1 b 13; ※
058 l 1 b 14;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=811,342,38,76;Ungler2-09_PT05_244 l 1 b 14; ※
058 l 1 b 15;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=869,342,69,76;Ungler2-09_PT05_244 l 1 b 15; ※
058 l 1 b 16;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=954,342,55,76;Ungler2-09_PT05_244 l 1 b 16; ※
058 l 1 b 17;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1011,342,4,76;Ungler2-09_PT05_244 l 1 b 17; ※
058 l 1 b 18;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1022,342,56,76;Ungler2-09_PT05_244 l 1 b 18; ※
058 l 1 b 19;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1090,342,55,76;Ungler2-09_PT05_244 l 1 b 19; ※
058 l 1 b 20;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1155,342,124,76;Ungler2-09_PT05_244 l 1 b 20; ※
058 l 1 b 21;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1294,342,40,76;Ungler2-09_PT05_244 l 1 b 21; ※
058 l 1 b 22;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1349,342,46,76;Ungler2-09_PT05_244 l 1 b 22; ※
058 l 1 b 23;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1408,342,35,76;Ungler2-09_PT05_244 l 1 b 23; ※
058 l 1 b 24;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1456,342,43,76;Ungler2-09_PT05_244 l 1 b 24; ※
058 l 1 b 25;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1510,342,51,76;Ungler2-09_PT05_244 l 1 b 25; ※
058 l 1 b 26;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1575,342,49,76;Ungler2-09_PT05_244 l 1 b 26; ※
058 l 1 b 27;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1634,342,45,76;Ungler2-09_PT05_244 l 1 b 27; ※
058 l 1 b 28;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1692,342,43,76;Ungler2-09_PT05_244 l 1 b 28; ※
058 l 1 b 29;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1748,342,83,76;Ungler2-09_PT05_244 l 1 b 29; ※
058 l 1 b 30;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1843,342,75,76;Ungler2-09_PT05_244 l 1 b 30; ※
058 l 1 b 31;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=1933,342,50,76;Ungler2-09_PT05_244 l 1 b 31; ※
058 l 1 b 32;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=2004,342,40,76;Ungler2-09_PT05_244 l 1 b 32; ※
058 l 2 b 1;file:Ungler2-09_PT05_244.djvu?djvuopts=&page=1&highlight=35,236,28,87;Ungler2-09_PT05_244 l 2 b 1; ※
