048 l 2 b 20;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1332,273,20,98;Ungler1-07_PT03_118 l 2 b 20; ※
048 l 2 b 21;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1384,273,15,98;Ungler1-07_PT03_118 l 2 b 21; ※
048 l 2 b 22;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1401,273,17,98;Ungler1-07_PT03_118 l 2 b 22; ※
048 l 2 b 23;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1449,273,18,98;Ungler1-07_PT03_118 l 2 b 23; ※
048 l 2 b 24;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1499,273,32,98;Ungler1-07_PT03_118 l 2 b 24; ※
048 l 2 b 25;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1559,273,56,98;Ungler1-07_PT03_118 l 2 b 25; ※
048 l 2 b 26;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1643,273,59,98;Ungler1-07_PT03_118 l 2 b 26; ※
048 l 2 b 27;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1734,273,13,98;Ungler1-07_PT03_118 l 2 b 27; ※
048 l 2 b 28;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1750,273,19,98;Ungler1-07_PT03_118 l 2 b 28; ※
048 l 2 b 29;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1799,273,39,98;Ungler1-07_PT03_118 l 2 b 29; ※
048 l 2 b 30;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1871,273,35,98;Ungler1-07_PT03_118 l 2 b 30; ※
048 l 2 b 31;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1938,273,39,98;Ungler1-07_PT03_118 l 2 b 31; ※
048 l 2 b 32;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=2008,273,39,98;Ungler1-07_PT03_118 l 2 b 32; ※
048 l 3 b 1;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=59,156,39,105;Ungler1-07_PT03_118 l 3 b 1; ※
048 l 3 b 2;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=130,156,37,105;Ungler1-07_PT03_118 l 3 b 2; ※
048 l 3 b 3;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=200,156,42,105;Ungler1-07_PT03_118 l 3 b 3; ※
048 l 3 b 4;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=275,156,42,105;Ungler1-07_PT03_118 l 3 b 4; ※
048 l 3 b 5;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=350,156,41,105;Ungler1-07_PT03_118 l 3 b 5; ※
048 l 3 b 6;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=419,156,61,105;Ungler1-07_PT03_118 l 3 b 6; ※
048 l 3 b 7;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=510,156,37,105;Ungler1-07_PT03_118 l 3 b 7; ※
048 l 3 b 8;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=578,156,42,105;Ungler1-07_PT03_118 l 3 b 8; ※
048 l 3 b 9;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=653,156,39,105;Ungler1-07_PT03_118 l 3 b 9; ※
048 l 3 b 10;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=725,156,39,105;Ungler1-07_PT03_118 l 3 b 10; ※
048 l 3 b 11;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=794,156,39,105;Ungler1-07_PT03_118 l 3 b 11; ※
048 l 3 b 12;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=864,156,43,105;Ungler1-07_PT03_118 l 3 b 12; ※
048 l 3 b 13;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=938,156,61,105;Ungler1-07_PT03_118 l 3 b 13; ※
048 l 3 b 14;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1031,156,64,105;Ungler1-07_PT03_118 l 3 b 14; ※
048 l 3 b 15;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1126,156,62,105;Ungler1-07_PT03_118 l 3 b 15; ※
048 l 3 b 16;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1219,156,29,105;Ungler1-07_PT03_118 l 3 b 16; ※
048 l 3 b 17;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1277,156,30,105;Ungler1-07_PT03_118 l 3 b 17; ※
048 l 3 b 18;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1339,156,20,105;Ungler1-07_PT03_118 l 3 b 18; ※
048 l 3 b 19;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1392,156,35,105;Ungler1-07_PT03_118 l 3 b 19; ※
048 l 3 b 20;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1457,156,30,105;Ungler1-07_PT03_118 l 3 b 20; ※
048 l 3 b 21;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1518,156,30,105;Ungler1-07_PT03_118 l 3 b 21; ※
048 l 3 b 22;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1583,156,72,105;Ungler1-07_PT03_118 l 3 b 22; ※
048 l 3 b 23;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1688,156,48,105;Ungler1-07_PT03_118 l 3 b 23; ※
048 l 3 b 24;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1766,156,44,105;Ungler1-07_PT03_118 l 3 b 24; ※
048 l 3 b 25;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1841,156,27,105;Ungler1-07_PT03_118 l 3 b 25; ※
048 l 3 b 26;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1900,156,33,105;Ungler1-07_PT03_118 l 3 b 26; ※
048 l 3 b 27;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1964,156,35,105;Ungler1-07_PT03_118 l 3 b 27; ※
048 l 3 b 28;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=2030,156,37,105;Ungler1-07_PT03_118 l 3 b 28; ※
048 l 4 b 1;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=144,45,38,102;Ungler1-07_PT03_118 l 4 b 1; ※
