032 l 1 b 1;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=669,423,13,21;Haller-13_PT04_172 l 1 b 1; ※
032 l 2 b 1;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=41,331,51,78;Haller-13_PT04_172 l 2 b 1; ※
032 l 2 b 2;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=108,331,59,78;Haller-13_PT04_172 l 2 b 2; ※
032 l 2 b 3;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=178,331,51,78;Haller-13_PT04_172 l 2 b 3; ※
032 l 2 b 4;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=243,331,56,78;Haller-13_PT04_172 l 2 b 4; ※
032 l 2 b 5;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=313,331,51,78;Haller-13_PT04_172 l 2 b 5; ※
032 l 2 b 6;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=379,331,43,78;Haller-13_PT04_172 l 2 b 6; ※
032 l 2 b 7;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=435,331,62,78;Haller-13_PT04_172 l 2 b 7; ※
032 l 2 b 8;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=512,331,58,78;Haller-13_PT04_172 l 2 b 8; ※
032 l 2 b 9;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=575,331,50,78;Haller-13_PT04_172 l 2 b 9; ※
032 l 2 b 10;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=637,331,14,78;Haller-13_PT04_172 l 2 b 10; ※
032 l 2 b 11;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=654,331,39,78;Haller-13_PT04_172 l 2 b 11; ※
032 l 2 b 12;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=702,331,50,78;Haller-13_PT04_172 l 2 b 12; ※
032 l 2 b 13;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=765,331,70,78;Haller-13_PT04_172 l 2 b 13; ※
032 l 2 b 14;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=843,331,66,78;Haller-13_PT04_172 l 2 b 14; ※
032 l 2 b 15;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=922,331,60,78;Haller-13_PT04_172 l 2 b 15; ※
032 l 2 b 16;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=991,331,64,78;Haller-13_PT04_172 l 2 b 16; ※
032 l 2 b 17;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1064,331,66,78;Haller-13_PT04_172 l 2 b 17; ※
032 l 2 b 18;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1141,331,65,78;Haller-13_PT04_172 l 2 b 18; ※
032 l 2 b 19;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1216,331,75,78;Haller-13_PT04_172 l 2 b 19; ※
032 l 2 b 20;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1304,331,71,78;Haller-13_PT04_172 l 2 b 20; ※
032 l 2 b 21;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1385,331,58,78;Haller-13_PT04_172 l 2 b 21; ※
032 l 2 b 22;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1456,331,65,78;Haller-13_PT04_172 l 2 b 22; ※
032 l 2 b 23;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=1530,331,44,78;Haller-13_PT04_172 l 2 b 23; ※
032 l 3 b 1;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=36,229,32,86;Haller-13_PT04_172 l 3 b 1; ※
032 l 3 b 2;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=81,229,28,86;Haller-13_PT04_172 l 3 b 2; ※
032 l 3 b 3;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=120,229,30,86;Haller-13_PT04_172 l 3 b 3; ※
032 l 3 b 4;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=158,229,48,86;Haller-13_PT04_172 l 3 b 4; ※
032 l 3 b 5;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=216,229,24,86;Haller-13_PT04_172 l 3 b 5; ※
032 l 3 b 6;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=251,229,23,86;Haller-13_PT04_172 l 3 b 6; ※
032 l 3 b 7;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=283,229,31,86;Haller-13_PT04_172 l 3 b 7; ※
032 l 3 b 8;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=327,229,31,86;Haller-13_PT04_172 l 3 b 8; ※
032 l 3 b 9;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=368,229,31,86;Haller-13_PT04_172 l 3 b 9; ※
032 l 3 b 10;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=410,229,27,86;Haller-13_PT04_172 l 3 b 10; ※
032 l 3 b 11;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=448,229,23,86;Haller-13_PT04_172 l 3 b 11; ※
032 l 3 b 12;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=482,229,26,86;Haller-13_PT04_172 l 3 b 12; ※
032 l 3 b 13;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=513,229,43,86;Haller-13_PT04_172 l 3 b 13; ※
032 l 3 b 14;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=563,229,35,86;Haller-13_PT04_172 l 3 b 14; ※
032 l 3 b 15;file:Haller-13_PT04_172.djvu?djvuopts=&page=1&highlight=608,229,37,86;Haller-13_PT04_172 l 3 b 15; ※
