069 l 1 b 1;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=15,376,56,80;Ungler2-20_PT07_361 l 1 b 1; ※
069 l 1 b 2;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=82,376,69,80;Ungler2-20_PT07_361 l 1 b 2; ※
069 l 1 b 3;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=168,376,43,80;Ungler2-20_PT07_361 l 1 b 3; ※
069 l 1 b 4;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=224,376,45,80;Ungler2-20_PT07_361 l 1 b 4; ※
069 l 1 b 5;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=285,376,55,80;Ungler2-20_PT07_361 l 1 b 5; ※
069 l 1 b 6;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=349,376,43,80;Ungler2-20_PT07_361 l 1 b 6; ※
069 l 1 b 7;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=408,376,37,80;Ungler2-20_PT07_361 l 1 b 7; ※
069 l 1 b 8;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=456,376,54,80;Ungler2-20_PT07_361 l 1 b 8; ※
069 l 1 b 9;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=520,376,58,80;Ungler2-20_PT07_361 l 1 b 9; ※
069 l 1 b 10;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=588,376,23,80;Ungler2-20_PT07_361 l 1 b 10; ※
069 l 1 b 11;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=625,376,48,80;Ungler2-20_PT07_361 l 1 b 11; ※
069 l 1 b 12;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=688,376,45,80;Ungler2-20_PT07_361 l 1 b 12; ※
069 l 1 b 13;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=747,376,70,80;Ungler2-20_PT07_361 l 1 b 13; ※
069 l 1 b 14;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=829,376,57,80;Ungler2-20_PT07_361 l 1 b 14; ※
069 l 1 b 15;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=889,376,2,80;Ungler2-20_PT07_361 l 1 b 15; ※
069 l 1 b 16;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=897,376,58,80;Ungler2-20_PT07_361 l 1 b 16; ※
069 l 1 b 17;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=966,376,43,80;Ungler2-20_PT07_361 l 1 b 17; ※
069 l 1 b 18;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1019,376,168,80;Ungler2-20_PT07_361 l 1 b 18; ※
069 l 1 b 19;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1198,376,83,80;Ungler2-20_PT07_361 l 1 b 19; ※
069 l 1 b 20;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1295,376,47,80;Ungler2-20_PT07_361 l 1 b 20; ※
069 l 1 b 21;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1359,376,34,80;Ungler2-20_PT07_361 l 1 b 21; ※
069 l 1 b 22;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1403,376,52,80;Ungler2-20_PT07_361 l 1 b 22; ※
069 l 1 b 23;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1474,376,54,80;Ungler2-20_PT07_361 l 1 b 23; ※
069 l 1 b 24;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1544,376,58,80;Ungler2-20_PT07_361 l 1 b 24; ※
069 l 1 b 25;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1614,376,49,80;Ungler2-20_PT07_361 l 1 b 25; ※
069 l 1 b 26;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1678,376,54,80;Ungler2-20_PT07_361 l 1 b 26; ※
069 l 2 b 1;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=68,260,24,79;Ungler2-20_PT07_361 l 2 b 1; ※
069 l 2 b 2;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=103,260,29,79;Ungler2-20_PT07_361 l 2 b 2; ※
069 l 2 b 3;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=144,260,26,79;Ungler2-20_PT07_361 l 2 b 3; ※
069 l 2 b 4;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=182,260,39,79;Ungler2-20_PT07_361 l 2 b 4; ※
069 l 2 b 5;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=233,260,33,79;Ungler2-20_PT07_361 l 2 b 5; ※
069 l 2 b 6;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=276,260,24,79;Ungler2-20_PT07_361 l 2 b 6; ※
069 l 2 b 7;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=311,260,45,79;Ungler2-20_PT07_361 l 2 b 7; ※
069 l 2 b 8;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=362,260,34,79;Ungler2-20_PT07_361 l 2 b 8; ※
069 l 2 b 9;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=406,260,26,79;Ungler2-20_PT07_361 l 2 b 9; ※
069 l 2 b 10;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=442,260,25,79;Ungler2-20_PT07_361 l 2 b 10; ※
069 l 2 b 11;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=477,260,27,79;Ungler2-20_PT07_361 l 2 b 11; ※
069 l 2 b 12;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=512,260,26,79;Ungler2-20_PT07_361 l 2 b 12; ※
069 l 2 b 13;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=550,260,25,79;Ungler2-20_PT07_361 l 2 b 13; ※
069 l 2 b 14;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=589,260,26,79;Ungler2-20_PT07_361 l 2 b 14; ※
069 l 2 b 15;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=624,260,47,79;Ungler2-20_PT07_361 l 2 b 15; ※
069 l 2 b 16;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=674,260,37,79;Ungler2-20_PT07_361 l 2 b 16; ※
069 l 2 b 17;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=720,260,32,79;Ungler2-20_PT07_361 l 2 b 17; ※
069 l 2 b 18;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=763,260,33,79;Ungler2-20_PT07_361 l 2 b 18; ※
069 l 2 b 19;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=805,260,30,79;Ungler2-20_PT07_361 l 2 b 19; ※
069 l 2 b 20;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=849,260,14,79;Ungler2-20_PT07_361 l 2 b 20; ※
069 l 2 b 21;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=874,260,12,79;Ungler2-20_PT07_361 l 2 b 21; ※
069 l 2 b 22;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=898,260,18,79;Ungler2-20_PT07_361 l 2 b 22; ※
069 l 2 b 23;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=926,260,29,79;Ungler2-20_PT07_361 l 2 b 23; ※
069 l 2 b 24;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=966,260,11,79;Ungler2-20_PT07_361 l 2 b 24; ※
069 l 2 b 25;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=989,260,29,79;Ungler2-20_PT07_361 l 2 b 25; ※
069 l 2 b 26;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1031,260,14,79;Ungler2-20_PT07_361 l 2 b 26; ※
069 l 2 b 27;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1055,260,50,79;Ungler2-20_PT07_361 l 2 b 27; ※
069 l 2 b 28;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1114,260,50,79;Ungler2-20_PT07_361 l 2 b 28; ※
069 l 2 b 29;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1173,260,15,79;Ungler2-20_PT07_361 l 2 b 29; ※
069 l 2 b 30;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1190,260,17,79;Ungler2-20_PT07_361 l 2 b 30; ※
069 l 2 b 31;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1214,260,31,79;Ungler2-20_PT07_361 l 2 b 31; ※
069 l 2 b 32;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1254,260,33,79;Ungler2-20_PT07_361 l 2 b 32; ※
069 l 2 b 33;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1297,260,32,79;Ungler2-20_PT07_361 l 2 b 33; ※
069 l 2 b 34;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1339,260,52,79;Ungler2-20_PT07_361 l 2 b 34; ※
069 l 2 b 35;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1400,260,32,79;Ungler2-20_PT07_361 l 2 b 35; ※
069 l 2 b 36;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1442,260,32,79;Ungler2-20_PT07_361 l 2 b 36; ※
069 l 2 b 37;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1485,260,30,79;Ungler2-20_PT07_361 l 2 b 37; ※
069 l 2 b 38;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1523,260,34,79;Ungler2-20_PT07_361 l 2 b 38; ※
069 l 2 b 39;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1563,260,42,79;Ungler2-20_PT07_361 l 2 b 39; ※
069 l 2 b 40;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1614,260,32,79;Ungler2-20_PT07_361 l 2 b 40; ※
069 l 2 b 41;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1654,260,32,79;Ungler2-20_PT07_361 l 2 b 41; ※
069 l 2 b 42;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=1688,260,2,79;Ungler2-20_PT07_361 l 2 b 42; ※
069 l 3 b 1;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=63,153,41,76;Ungler2-20_PT07_361 l 3 b 1; ※
069 l 3 b 2;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=109,153,34,76;Ungler2-20_PT07_361 l 3 b 2; ※
069 l 3 b 3;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=153,153,31,76;Ungler2-20_PT07_361 l 3 b 3; ※
069 l 3 b 4;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=192,153,33,76;Ungler2-20_PT07_361 l 3 b 4; ※
069 l 3 b 5;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=235,153,38,76;Ungler2-20_PT07_361 l 3 b 5; ※
069 l 3 b 6;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=284,153,35,76;Ungler2-20_PT07_361 l 3 b 6; ※
069 l 3 b 7;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=323,153,45,76;Ungler2-20_PT07_361 l 3 b 7; ※
069 l 3 b 8;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=379,153,45,76;Ungler2-20_PT07_361 l 3 b 8; ※
069 l 3 b 9;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=432,153,49,76;Ungler2-20_PT07_361 l 3 b 9; ※
069 l 3 b 10;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=490,153,49,76;Ungler2-20_PT07_361 l 3 b 10; ※
069 l 3 b 11;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=549,153,20,76;Ungler2-20_PT07_361 l 3 b 11; ※
069 l 3 b 12;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=578,153,22,76;Ungler2-20_PT07_361 l 3 b 12; ※
069 l 3 b 13;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=607,153,21,76;Ungler2-20_PT07_361 l 3 b 13; ※
069 l 3 b 14;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=639,153,27,76;Ungler2-20_PT07_361 l 3 b 14; ※
069 l 3 b 15;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=674,153,30,76;Ungler2-20_PT07_361 l 3 b 15; ※
069 l 3 b 16;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=717,153,92,76;Ungler2-20_PT07_361 l 3 b 16; ※
069 l 3 b 17;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=817,153,18,76;Ungler2-20_PT07_361 l 3 b 17; ※
069 l 3 b 18;file:Ungler2-20_PT07_361.djvu?djvuopts=&page=1&highlight=845,153,23,76;Ungler2-20_PT07_361 l 3 b 18; ※
