060 l 1 b 1;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=24,69,39,60;Ungler2-11_PT05_245 l 1 b 1; ※
060 l 1 b 2;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=69,69,33,60;Ungler2-11_PT05_245 l 1 b 2; ※
060 l 1 b 3;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=113,69,48,60;Ungler2-11_PT05_245 l 1 b 3; ※
060 l 1 b 4;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=170,69,27,60;Ungler2-11_PT05_245 l 1 b 4; ※
060 l 1 b 5;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=210,69,39,60;Ungler2-11_PT05_245 l 1 b 5; ※
060 l 1 b 6;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=259,69,51,60;Ungler2-11_PT05_245 l 1 b 6; ※
060 l 1 b 7;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=320,69,43,60;Ungler2-11_PT05_245 l 1 b 7; ※
060 l 1 b 8;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=374,69,6,60;Ungler2-11_PT05_245 l 1 b 8; ※
060 l 1 b 9;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=395,69,26,60;Ungler2-11_PT05_245 l 1 b 9; ※
060 l 1 b 10;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=437,69,43,60;Ungler2-11_PT05_245 l 1 b 10; ※
060 l 1 b 11;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=493,69,39,60;Ungler2-11_PT05_245 l 1 b 11; ※
060 l 1 b 12;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=542,69,42,60;Ungler2-11_PT05_245 l 1 b 12; ※
060 l 1 b 13;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=597,69,37,60;Ungler2-11_PT05_245 l 1 b 13; ※
060 l 1 b 14;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=646,69,36,60;Ungler2-11_PT05_245 l 1 b 14; ※
060 l 1 b 15;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=695,69,32,60;Ungler2-11_PT05_245 l 1 b 15; ※
060 l 1 b 16;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=737,69,46,60;Ungler2-11_PT05_245 l 1 b 16; ※
060 l 1 b 17;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=797,69,41,60;Ungler2-11_PT05_245 l 1 b 17; ※
060 l 1 b 18;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=848,69,43,60;Ungler2-11_PT05_245 l 1 b 18; ※
060 l 1 b 19;file:Ungler2-11_PT05_245.djvu?djvuopts=&page=1&highlight=906,69,48,60;Ungler2-11_PT05_245 l 1 b 19; ※
