030 l 1 b 1;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=127,455,45,77;Haller-11_PT04_174 l 1 b 1; ※
030 l 1 b 2;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=192,455,24,77;Haller-11_PT04_174 l 1 b 2; ※
030 l 1 b 3;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=224,455,33,77;Haller-11_PT04_174 l 1 b 3; ※
030 l 1 b 4;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=275,455,37,77;Haller-11_PT04_174 l 1 b 4; ※
030 l 1 b 5;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=329,455,44,77;Haller-11_PT04_174 l 1 b 5; ※
030 l 1 b 6;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=390,455,51,77;Haller-11_PT04_174 l 1 b 6; ※
030 l 1 b 7;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=457,455,33,77;Haller-11_PT04_174 l 1 b 7; ※
030 l 1 b 8;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=508,455,34,77;Haller-11_PT04_174 l 1 b 8; ※
030 l 1 b 9;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=561,455,50,77;Haller-11_PT04_174 l 1 b 9; ※
030 l 1 b 10;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=630,455,52,77;Haller-11_PT04_174 l 1 b 10; ※
030 l 1 b 11;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=698,455,14,77;Haller-11_PT04_174 l 1 b 11; ※
030 l 1 b 12;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=731,455,45,77;Haller-11_PT04_174 l 1 b 12; ※
030 l 1 b 13;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=794,455,38,77;Haller-11_PT04_174 l 1 b 13; ※
030 l 1 b 14;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=850,455,61,77;Haller-11_PT04_174 l 1 b 14; ※
030 l 1 b 15;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=927,455,50,77;Haller-11_PT04_174 l 1 b 15; ※
030 l 1 b 16;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=991,455,55,77;Haller-11_PT04_174 l 1 b 16; ※
030 l 1 b 17;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1060,455,35,77;Haller-11_PT04_174 l 1 b 17; ※
030 l 1 b 18;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1110,455,61,77;Haller-11_PT04_174 l 1 b 18; ※
030 l 1 b 19;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1182,455,77,77;Haller-11_PT04_174 l 1 b 19; ※
030 l 1 b 20;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1274,455,47,77;Haller-11_PT04_174 l 1 b 20; ※
030 l 1 b 21;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1337,455,34,77;Haller-11_PT04_174 l 1 b 21; ※
030 l 1 b 22;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1385,455,10,77;Haller-11_PT04_174 l 1 b 22; ※
030 l 1 b 23;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1397,455,24,77;Haller-11_PT04_174 l 1 b 23; ※
030 l 1 b 24;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1423,455,11,77;Haller-11_PT04_174 l 1 b 24; ※
030 l 1 b 25;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1452,455,51,77;Haller-11_PT04_174 l 1 b 25; ※
030 l 1 b 26;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1523,455,58,77;Haller-11_PT04_174 l 1 b 26; ※
030 l 1 b 27;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1599,455,37,77;Haller-11_PT04_174 l 1 b 27; ※
030 l 1 b 28;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1651,455,56,77;Haller-11_PT04_174 l 1 b 28; ※
030 l 2 b 1;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=62,354,23,85;Haller-11_PT04_174 l 2 b 1; ※
030 l 2 b 2;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=100,354,23,85;Haller-11_PT04_174 l 2 b 2; ※
030 l 2 b 3;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=143,354,23,85;Haller-11_PT04_174 l 2 b 3; ※
030 l 2 b 4;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=182,354,23,85;Haller-11_PT04_174 l 2 b 4; ※
030 l 2 b 5;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=219,354,35,85;Haller-11_PT04_174 l 2 b 5; ※
030 l 2 b 6;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=269,354,28,85;Haller-11_PT04_174 l 2 b 6; ※
030 l 2 b 7;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=310,354,22,85;Haller-11_PT04_174 l 2 b 7; ※
030 l 2 b 8;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=348,354,26,85;Haller-11_PT04_174 l 2 b 8; ※
030 l 2 b 9;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=387,354,43,85;Haller-11_PT04_174 l 2 b 9; ※
030 l 2 b 10;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=444,354,29,85;Haller-11_PT04_174 l 2 b 10; ※
030 l 2 b 11;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=488,354,22,85;Haller-11_PT04_174 l 2 b 11; ※
030 l 2 b 12;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=524,354,25,85;Haller-11_PT04_174 l 2 b 12; ※
030 l 2 b 13;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=563,354,23,85;Haller-11_PT04_174 l 2 b 13; ※
030 l 2 b 14;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=600,354,25,85;Haller-11_PT04_174 l 2 b 14; ※
030 l 2 b 15;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=641,354,19,85;Haller-11_PT04_174 l 2 b 15; ※
030 l 2 b 16;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=673,354,45,85;Haller-11_PT04_174 l 2 b 16; ※
030 l 2 b 17;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=724,354,30,85;Haller-11_PT04_174 l 2 b 17; ※
030 l 2 b 18;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=770,354,32,85;Haller-11_PT04_174 l 2 b 18; ※
030 l 2 b 19;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=815,354,12,85;Haller-11_PT04_174 l 2 b 19; ※
030 l 2 b 20;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=830,354,16,85;Haller-11_PT04_174 l 2 b 20; ※
030 l 2 b 21;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=860,354,13,85;Haller-11_PT04_174 l 2 b 21; ※
030 l 2 b 22;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=886,354,13,85;Haller-11_PT04_174 l 2 b 22; ※
030 l 2 b 23;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=914,354,28,85;Haller-11_PT04_174 l 2 b 23; ※
030 l 2 b 24;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=956,354,32,85;Haller-11_PT04_174 l 2 b 24; ※
030 l 2 b 25;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1000,354,9,85;Haller-11_PT04_174 l 2 b 25; ※
030 l 2 b 26;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1021,354,26,85;Haller-11_PT04_174 l 2 b 26; ※
030 l 2 b 27;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1053,354,46,85;Haller-11_PT04_174 l 2 b 27; ※
030 l 2 b 28;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1114,354,48,85;Haller-11_PT04_174 l 2 b 28; ※
030 l 2 b 29;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1176,354,31,85;Haller-11_PT04_174 l 2 b 29; ※
030 l 2 b 30;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1222,354,28,85;Haller-11_PT04_174 l 2 b 30; ※
030 l 2 b 31;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1264,354,30,85;Haller-11_PT04_174 l 2 b 31; ※
030 l 2 b 32;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1309,354,31,85;Haller-11_PT04_174 l 2 b 32; ※
030 l 2 b 33;file:Haller-11_PT04_174.djvu?djvuopts=&page=1&highlight=1352,354,32,85;Haller-11_PT04_174 l 2 b 33; ※
