067 l 1 b 1;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=31,325,48,84;Ungler2-18_PT07_360 l 1 b 1; ※
067 l 1 b 2;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=88,325,61,84;Ungler2-18_PT07_360 l 1 b 2; ※
067 l 1 b 3;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=156,325,46,84;Ungler2-18_PT07_360 l 1 b 3; ※
067 l 1 b 4;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=212,325,59,84;Ungler2-18_PT07_360 l 1 b 4; ※
067 l 1 b 5;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=281,325,46,84;Ungler2-18_PT07_360 l 1 b 5; ※
067 l 1 b 6;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=340,325,59,84;Ungler2-18_PT07_360 l 1 b 6; ※
067 l 1 b 7;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=409,325,44,84;Ungler2-18_PT07_360 l 1 b 7; ※
067 l 1 b 8;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=460,325,58,84;Ungler2-18_PT07_360 l 1 b 8; ※
067 l 1 b 9;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=527,325,49,84;Ungler2-18_PT07_360 l 1 b 9; ※
067 l 1 b 10;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=585,325,43,84;Ungler2-18_PT07_360 l 1 b 10; ※
067 l 1 b 11;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=639,325,43,84;Ungler2-18_PT07_360 l 1 b 11; ※
067 l 1 b 12;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=696,325,31,84;Ungler2-18_PT07_360 l 1 b 12; ※
067 l 1 b 13;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=743,325,77,84;Ungler2-18_PT07_360 l 1 b 13; ※
067 l 1 b 14;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=831,325,56,84;Ungler2-18_PT07_360 l 1 b 14; ※
067 l 1 b 15;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=894,325,62,84;Ungler2-18_PT07_360 l 1 b 15; ※
067 l 1 b 16;file:Ungler2-18_PT07_360.djvu?djvuopts=&page=1&highlight=966,325,51,84;Ungler2-18_PT07_360 l 1 b 16; ※
