073 l 1 b 1;file:Wirzbięta-01u_PT11_570.djvu?djvuopts=&page=1&highlight=43,24,143,220;Wirzbięta-01u_PT11_570 l 1 b 1; ※
073 l 1 b 2;file:Wirzbięta-01u_PT11_570.djvu?djvuopts=&page=1&highlight=273,24,100,220;Wirzbięta-01u_PT11_570 l 1 b 2; ※
073 l 1 b 3;file:Wirzbięta-01u_PT11_570.djvu?djvuopts=&page=1&highlight=465,24,70,220;Wirzbięta-01u_PT11_570 l 1 b 3; ※
073 l 1 b 4;file:Wirzbięta-01u_PT11_570.djvu?djvuopts=&page=1&highlight=607,24,51,220;Wirzbięta-01u_PT11_570 l 1 b 4; ※
