054 l 1 b 1;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=49,394,43,52;Ungler2-03_PT05_241 l 1 b 1; ※
054 l 1 b 2;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=105,394,34,52;Ungler2-03_PT05_241 l 1 b 2; ※
054 l 1 b 3;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=151,394,32,52;Ungler2-03_PT05_241 l 1 b 3; ※
054 l 1 b 4;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=196,394,27,52;Ungler2-03_PT05_241 l 1 b 4; ※
054 l 1 b 5;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=239,394,34,52;Ungler2-03_PT05_241 l 1 b 5; ※
054 l 1 b 6;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=288,394,28,52;Ungler2-03_PT05_241 l 1 b 6; ※
054 l 1 b 7;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=333,394,25,52;Ungler2-03_PT05_241 l 1 b 7; ※
054 l 1 b 8;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=374,394,33,52;Ungler2-03_PT05_241 l 1 b 8; ※
054 l 1 b 9;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=414,394,18,52;Ungler2-03_PT05_241 l 1 b 9; ※
054 l 1 b 10;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=434,394,20,52;Ungler2-03_PT05_241 l 1 b 10; ※
054 l 1 b 11;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=464,394,21,52;Ungler2-03_PT05_241 l 1 b 11; ※
054 l 1 b 12;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=493,394,6,52;Ungler2-03_PT05_241 l 1 b 12; ※
054 l 1 b 13;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=502,394,25,52;Ungler2-03_PT05_241 l 1 b 13; ※
054 l 1 b 14;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=539,394,30,52;Ungler2-03_PT05_241 l 1 b 14; ※
054 l 1 b 15;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=583,394,57,52;Ungler2-03_PT05_241 l 1 b 15; ※
054 l 1 b 16;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=650,394,35,52;Ungler2-03_PT05_241 l 1 b 16; ※
054 l 1 b 17;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=696,394,36,52;Ungler2-03_PT05_241 l 1 b 17; ※
054 l 1 b 18;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=747,394,41,52;Ungler2-03_PT05_241 l 1 b 18; ※
054 l 1 b 19;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=799,394,39,52;Ungler2-03_PT05_241 l 1 b 19; ※
054 l 1 b 20;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=849,394,39,52;Ungler2-03_PT05_241 l 1 b 20; ※
054 l 1 b 21;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=898,394,35,52;Ungler2-03_PT05_241 l 1 b 21; ※
054 l 1 b 22;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=943,394,47,52;Ungler2-03_PT05_241 l 1 b 22; ※
054 l 1 b 23;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1005,394,43,52;Ungler2-03_PT05_241 l 1 b 23; ※
054 l 1 b 24;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1059,394,34,52;Ungler2-03_PT05_241 l 1 b 24; ※
054 l 1 b 25;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1104,394,42,52;Ungler2-03_PT05_241 l 1 b 25; ※
054 l 1 b 26;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1158,394,55,52;Ungler2-03_PT05_241 l 1 b 26; ※
054 l 1 b 27;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1225,394,28,52;Ungler2-03_PT05_241 l 1 b 27; ※
054 l 1 b 28;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1263,394,26,52;Ungler2-03_PT05_241 l 1 b 28; ※
054 l 1 b 29;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1296,394,46,52;Ungler2-03_PT05_241 l 1 b 29; ※
054 l 2 b 1;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=51,310,20,57;Ungler2-03_PT05_241 l 2 b 1; ※
054 l 2 b 2;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=86,310,19,57;Ungler2-03_PT05_241 l 2 b 2; ※
054 l 2 b 3;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=114,310,28,57;Ungler2-03_PT05_241 l 2 b 3; ※
054 l 2 b 4;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=153,310,22,57;Ungler2-03_PT05_241 l 2 b 4; ※
054 l 2 b 5;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=186,310,23,57;Ungler2-03_PT05_241 l 2 b 5; ※
054 l 2 b 6;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=216,310,15,57;Ungler2-03_PT05_241 l 2 b 6; ※
054 l 2 b 7;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=242,310,14,57;Ungler2-03_PT05_241 l 2 b 7; ※
054 l 2 b 8;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=270,310,15,57;Ungler2-03_PT05_241 l 2 b 8; ※
054 l 2 b 9;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=298,310,13,57;Ungler2-03_PT05_241 l 2 b 9; ※
054 l 2 b 10;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=322,310,21,57;Ungler2-03_PT05_241 l 2 b 10; ※
054 l 2 b 11;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=354,310,26,57;Ungler2-03_PT05_241 l 2 b 11; ※
054 l 2 b 12;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=393,310,34,57;Ungler2-03_PT05_241 l 2 b 12; ※
054 l 2 b 13;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=439,310,20,57;Ungler2-03_PT05_241 l 2 b 13; ※
054 l 2 b 14;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=471,310,14,57;Ungler2-03_PT05_241 l 2 b 14; ※
054 l 2 b 15;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=500,310,18,57;Ungler2-03_PT05_241 l 2 b 15; ※
054 l 2 b 16;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=529,310,16,57;Ungler2-03_PT05_241 l 2 b 16; ※
054 l 2 b 17;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=558,310,16,57;Ungler2-03_PT05_241 l 2 b 17; ※
054 l 2 b 18;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=582,310,28,57;Ungler2-03_PT05_241 l 2 b 18; ※
054 l 2 b 19;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=620,310,23,57;Ungler2-03_PT05_241 l 2 b 19; ※
054 l 2 b 20;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=657,310,23,57;Ungler2-03_PT05_241 l 2 b 20; ※
054 l 2 b 21;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=692,310,26,57;Ungler2-03_PT05_241 l 2 b 21; ※
054 l 2 b 22;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=728,310,32,57;Ungler2-03_PT05_241 l 2 b 22; ※
054 l 2 b 23;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=767,310,24,57;Ungler2-03_PT05_241 l 2 b 23; ※
054 l 2 b 24;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=802,310,26,57;Ungler2-03_PT05_241 l 2 b 24; ※
054 l 2 b 25;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=841,310,41,57;Ungler2-03_PT05_241 l 2 b 25; ※
054 l 2 b 26;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=895,310,10,57;Ungler2-03_PT05_241 l 2 b 26; ※
054 l 2 b 27;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=917,310,17,57;Ungler2-03_PT05_241 l 2 b 27; ※
054 l 2 b 28;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=947,310,11,57;Ungler2-03_PT05_241 l 2 b 28; ※
054 l 2 b 29;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=969,310,11,57;Ungler2-03_PT05_241 l 2 b 29; ※
054 l 2 b 30;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=993,310,14,57;Ungler2-03_PT05_241 l 2 b 30; ※
054 l 2 b 31;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1020,310,22,57;Ungler2-03_PT05_241 l 2 b 31; ※
054 l 2 b 32;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1052,310,20,57;Ungler2-03_PT05_241 l 2 b 32; ※
054 l 2 b 33;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1085,310,20,57;Ungler2-03_PT05_241 l 2 b 33; ※
054 l 2 b 34;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1120,310,8,57;Ungler2-03_PT05_241 l 2 b 34; ※
054 l 2 b 35;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1142,310,17,57;Ungler2-03_PT05_241 l 2 b 35; ※
054 l 2 b 36;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1167,310,36,57;Ungler2-03_PT05_241 l 2 b 36; ※
054 l 2 b 37;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1218,310,40,57;Ungler2-03_PT05_241 l 2 b 37; ※
054 l 2 b 38;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1267,310,9,57;Ungler2-03_PT05_241 l 2 b 38; ※
054 l 2 b 39;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1281,310,22,57;Ungler2-03_PT05_241 l 2 b 39; ※
054 l 2 b 40;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1314,310,36,57;Ungler2-03_PT05_241 l 2 b 40; ※
054 l 3 b 1;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=45,232,22,59;Ungler2-03_PT05_241 l 3 b 1; ※
054 l 3 b 2;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=87,232,20,59;Ungler2-03_PT05_241 l 3 b 2; ※
054 l 3 b 3;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=118,232,22,59;Ungler2-03_PT05_241 l 3 b 3; ※
054 l 3 b 4;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=151,232,23,59;Ungler2-03_PT05_241 l 3 b 4; ※
054 l 3 b 5;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=185,232,19,59;Ungler2-03_PT05_241 l 3 b 5; ※
054 l 3 b 6;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=217,232,20,59;Ungler2-03_PT05_241 l 3 b 6; ※
054 l 3 b 7;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=247,232,22,59;Ungler2-03_PT05_241 l 3 b 7; ※
054 l 3 b 8;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=281,232,20,59;Ungler2-03_PT05_241 l 3 b 8; ※
054 l 3 b 9;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=314,232,21,59;Ungler2-03_PT05_241 l 3 b 9; ※
054 l 3 b 10;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=347,232,23,59;Ungler2-03_PT05_241 l 3 b 10; ※
054 l 3 b 11;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=381,232,38,59;Ungler2-03_PT05_241 l 3 b 11; ※
054 l 3 b 12;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=430,232,64,59;Ungler2-03_PT05_241 l 3 b 12; ※
054 l 3 b 13;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=505,232,23,59;Ungler2-03_PT05_241 l 3 b 13; ※
054 l 3 b 14;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=535,232,23,59;Ungler2-03_PT05_241 l 3 b 14; ※
054 l 3 b 15;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=568,232,22,59;Ungler2-03_PT05_241 l 3 b 15; ※
054 l 3 b 16;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=596,232,22,59;Ungler2-03_PT05_241 l 3 b 16; ※
054 l 3 b 17;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=629,232,27,59;Ungler2-03_PT05_241 l 3 b 17; ※
054 l 3 b 18;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=666,232,36,59;Ungler2-03_PT05_241 l 3 b 18; ※
054 l 3 b 19;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=712,232,36,59;Ungler2-03_PT05_241 l 3 b 19; ※
054 l 3 b 20;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=756,232,34,59;Ungler2-03_PT05_241 l 3 b 20; ※
054 l 3 b 21;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=799,232,37,59;Ungler2-03_PT05_241 l 3 b 21; ※
054 l 3 b 22;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=846,232,39,59;Ungler2-03_PT05_241 l 3 b 22; ※
054 l 3 b 23;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=896,232,41,59;Ungler2-03_PT05_241 l 3 b 23; ※
054 l 3 b 24;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=945,232,15,59;Ungler2-03_PT05_241 l 3 b 24; ※
054 l 3 b 25;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=971,232,20,59;Ungler2-03_PT05_241 l 3 b 25; ※
054 l 3 b 26;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1001,232,23,59;Ungler2-03_PT05_241 l 3 b 26; ※
054 l 3 b 27;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1032,232,14,59;Ungler2-03_PT05_241 l 3 b 27; ※
054 l 3 b 28;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1057,232,15,59;Ungler2-03_PT05_241 l 3 b 28; ※
054 l 3 b 29;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1084,232,23,59;Ungler2-03_PT05_241 l 3 b 29; ※
054 l 3 b 30;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1118,232,21,59;Ungler2-03_PT05_241 l 3 b 30; ※
054 l 3 b 31;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1150,232,20,59;Ungler2-03_PT05_241 l 3 b 31; ※
054 l 3 b 32;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1179,232,29,59;Ungler2-03_PT05_241 l 3 b 32; ※
054 l 3 b 33;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1215,232,20,59;Ungler2-03_PT05_241 l 3 b 33; ※
054 l 3 b 34;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1245,232,22,59;Ungler2-03_PT05_241 l 3 b 34; ※
054 l 3 b 35;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1275,232,28,59;Ungler2-03_PT05_241 l 3 b 35; ※
054 l 3 b 36;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1308,232,37,59;Ungler2-03_PT05_241 l 3 b 36; ※
054 l 4 b 1;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=45,158,25,55;Ungler2-03_PT05_241 l 4 b 1; ※
054 l 4 b 2;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=81,158,26,55;Ungler2-03_PT05_241 l 4 b 2; ※
054 l 4 b 3;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=115,158,19,55;Ungler2-03_PT05_241 l 4 b 3; ※
054 l 4 b 4;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=143,158,11,55;Ungler2-03_PT05_241 l 4 b 4; ※
054 l 4 b 5;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=164,158,18,55;Ungler2-03_PT05_241 l 4 b 5; ※
054 l 4 b 6;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=188,158,20,55;Ungler2-03_PT05_241 l 4 b 6; ※
054 l 4 b 7;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=217,158,17,55;Ungler2-03_PT05_241 l 4 b 7; ※
054 l 4 b 8;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=245,158,22,55;Ungler2-03_PT05_241 l 4 b 8; ※
054 l 4 b 9;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=275,158,21,55;Ungler2-03_PT05_241 l 4 b 9; ※
054 l 4 b 10;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=306,158,20,55;Ungler2-03_PT05_241 l 4 b 10; ※
054 l 4 b 11;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=340,158,21,55;Ungler2-03_PT05_241 l 4 b 11; ※
054 l 4 b 12;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=371,158,19,55;Ungler2-03_PT05_241 l 4 b 12; ※
054 l 4 b 13;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=400,158,20,55;Ungler2-03_PT05_241 l 4 b 13; ※
054 l 4 b 14;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=431,158,34,55;Ungler2-03_PT05_241 l 4 b 14; ※
054 l 4 b 15;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=478,158,18,55;Ungler2-03_PT05_241 l 4 b 15; ※
054 l 4 b 16;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=508,158,20,55;Ungler2-03_PT05_241 l 4 b 16; ※
054 l 4 b 17;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=542,158,11,55;Ungler2-03_PT05_241 l 4 b 17; ※
054 l 4 b 18;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=564,158,13,55;Ungler2-03_PT05_241 l 4 b 18; ※
054 l 4 b 19;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=588,158,17,55;Ungler2-03_PT05_241 l 4 b 19; ※
054 l 4 b 20;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=616,158,16,55;Ungler2-03_PT05_241 l 4 b 20; ※
054 l 4 b 21;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=657,158,25,55;Ungler2-03_PT05_241 l 4 b 21; ※
054 l 4 b 22;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=689,158,22,55;Ungler2-03_PT05_241 l 4 b 22; ※
054 l 4 b 23;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=720,158,21,55;Ungler2-03_PT05_241 l 4 b 23; ※
054 l 4 b 24;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=755,158,11,55;Ungler2-03_PT05_241 l 4 b 24; ※
054 l 4 b 25;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=781,158,21,55;Ungler2-03_PT05_241 l 4 b 25; ※
054 l 4 b 26;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=816,158,18,55;Ungler2-03_PT05_241 l 4 b 26; ※
054 l 4 b 27;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=847,158,32,55;Ungler2-03_PT05_241 l 4 b 27; ※
054 l 4 b 28;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=906,158,18,55;Ungler2-03_PT05_241 l 4 b 28; ※
054 l 4 b 29;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=929,158,18,55;Ungler2-03_PT05_241 l 4 b 29; ※
054 l 4 b 30;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=987,158,15,55;Ungler2-03_PT05_241 l 4 b 30; ※
054 l 4 b 31;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1020,158,17,55;Ungler2-03_PT05_241 l 4 b 31; ※
054 l 4 b 32;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1056,158,21,55;Ungler2-03_PT05_241 l 4 b 32; ※
054 l 4 b 33;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1089,158,20,55;Ungler2-03_PT05_241 l 4 b 33; ※
054 l 4 b 34;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1124,158,16,55;Ungler2-03_PT05_241 l 4 b 34; ※
054 l 4 b 35;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1152,158,11,55;Ungler2-03_PT05_241 l 4 b 35; ※
054 l 4 b 36;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1177,158,13,55;Ungler2-03_PT05_241 l 4 b 36; ※
054 l 4 b 37;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1202,158,10,55;Ungler2-03_PT05_241 l 4 b 37; ※
054 l 4 b 38;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1251,158,39,55;Ungler2-03_PT05_241 l 4 b 38; ※
054 l 4 b 39;file:Ungler2-03_PT05_241.djvu?djvuopts=&page=1&highlight=1307,158,36,55;Ungler2-03_PT05_241 l 4 b 39; ※
