057 l 1 b 1;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=34,333,48,62;Ungler2-06_PT05_241 l 1 b 1; ※
057 l 1 b 2;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=95,333,64,62;Ungler2-06_PT05_241 l 1 b 2; ※
057 l 1 b 3;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=166,333,48,62;Ungler2-06_PT05_241 l 1 b 3; ※
057 l 1 b 4;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=224,333,62,62;Ungler2-06_PT05_241 l 1 b 4; ※
057 l 1 b 5;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=292,333,43,62;Ungler2-06_PT05_241 l 1 b 5; ※
057 l 1 b 6;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=348,333,52,62;Ungler2-06_PT05_241 l 1 b 6; ※
057 l 1 b 7;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=406,333,58,62;Ungler2-06_PT05_241 l 1 b 7; ※
057 l 1 b 8;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=471,333,51,62;Ungler2-06_PT05_241 l 1 b 8; ※
057 l 1 b 9;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=530,333,41,62;Ungler2-06_PT05_241 l 1 b 9; ※
057 l 1 b 10;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=578,333,38,62;Ungler2-06_PT05_241 l 1 b 10; ※
057 l 1 b 11;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=627,333,37,62;Ungler2-06_PT05_241 l 1 b 11; ※
057 l 1 b 12;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=672,333,83,62;Ungler2-06_PT05_241 l 1 b 12; ※
057 l 1 b 13;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=760,333,65,62;Ungler2-06_PT05_241 l 1 b 13; ※
057 l 1 b 14;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=831,333,58,62;Ungler2-06_PT05_241 l 1 b 14; ※
057 l 1 b 15;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=896,333,72,62;Ungler2-06_PT05_241 l 1 b 15; ※
057 l 1 b 16;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=973,333,66,62;Ungler2-06_PT05_241 l 1 b 16; ※
057 l 1 b 17;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=1046,333,55,62;Ungler2-06_PT05_241 l 1 b 17; ※
057 l 1 b 18;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=1111,333,55,62;Ungler2-06_PT05_241 l 1 b 18; ※
057 l 1 b 19;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=1173,333,42,62;Ungler2-06_PT05_241 l 1 b 19; ※
057 l 1 b 20;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=1223,333,47,62;Ungler2-06_PT05_241 l 1 b 20; ※
057 l 2 b 1;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=31,242,29,71;Ungler2-06_PT05_241 l 2 b 1; ※
057 l 2 b 2;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=63,242,31,71;Ungler2-06_PT05_241 l 2 b 2; ※
057 l 2 b 3;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=102,242,29,71;Ungler2-06_PT05_241 l 2 b 3; ※
057 l 2 b 4;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=137,242,21,71;Ungler2-06_PT05_241 l 2 b 4; ※
057 l 2 b 5;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=169,242,30,71;Ungler2-06_PT05_241 l 2 b 5; ※
057 l 2 b 6;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=208,242,31,71;Ungler2-06_PT05_241 l 2 b 6; ※
057 l 2 b 7;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=245,242,34,71;Ungler2-06_PT05_241 l 2 b 7; ※
057 l 2 b 8;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=287,242,24,71;Ungler2-06_PT05_241 l 2 b 8; ※
057 l 2 b 9;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=321,242,26,71;Ungler2-06_PT05_241 l 2 b 9; ※
057 l 2 b 10;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=356,242,30,71;Ungler2-06_PT05_241 l 2 b 10; ※
057 l 2 b 11;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=400,242,81,71;Ungler2-06_PT05_241 l 2 b 11; ※
057 l 2 b 12;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=490,242,35,71;Ungler2-06_PT05_241 l 2 b 12; ※
057 l 2 b 13;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=528,242,33,71;Ungler2-06_PT05_241 l 2 b 13; ※
057 l 2 b 14;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=572,242,14,71;Ungler2-06_PT05_241 l 2 b 14; ※
057 l 2 b 15;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=592,242,16,71;Ungler2-06_PT05_241 l 2 b 15; ※
057 l 2 b 16;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=614,242,19,71;Ungler2-06_PT05_241 l 2 b 16; ※
057 l 2 b 17;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=636,242,30,71;Ungler2-06_PT05_241 l 2 b 17; ※
057 l 2 b 18;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=676,242,12,71;Ungler2-06_PT05_241 l 2 b 18; ※
057 l 2 b 19;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=693,242,28,71;Ungler2-06_PT05_241 l 2 b 19; ※
057 l 2 b 20;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=727,242,45,71;Ungler2-06_PT05_241 l 2 b 20; ※
057 l 2 b 21;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=775,242,48,71;Ungler2-06_PT05_241 l 2 b 21; ※
057 l 2 b 22;file:Ungler2-06_PT05_241.djvu?djvuopts=&page=1&highlight=833,242,31,71;Ungler2-06_PT05_241 l 2 b 22; ※
