023 l 1 b 1;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1067,525,3,2;Haller-04_PT04_167 l 1 b 1; ※
023 l 2 b 1;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=47,410,76,106;Haller-04_PT04_167 l 2 b 1; ※
023 l 2 b 2;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=138,410,88,106;Haller-04_PT04_167 l 2 b 2; ※
023 l 2 b 3;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=240,410,59,106;Haller-04_PT04_167 l 2 b 3; ※
023 l 2 b 4;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=311,410,53,106;Haller-04_PT04_167 l 2 b 4; ※
023 l 2 b 5;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=382,410,83,106;Haller-04_PT04_167 l 2 b 5; ※
023 l 2 b 6;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=480,410,61,106;Haller-04_PT04_167 l 2 b 6; ※
023 l 2 b 7;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=557,410,57,106;Haller-04_PT04_167 l 2 b 7; ※
023 l 2 b 8;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=627,410,82,106;Haller-04_PT04_167 l 2 b 8; ※
023 l 2 b 9;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=720,410,76,106;Haller-04_PT04_167 l 2 b 9; ※
023 l 2 b 10;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=814,410,59,106;Haller-04_PT04_167 l 2 b 10; ※
023 l 2 b 11;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=886,410,68,106;Haller-04_PT04_167 l 2 b 11; ※
023 l 2 b 12;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=971,410,57,106;Haller-04_PT04_167 l 2 b 12; ※
023 l 2 b 13;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1044,410,43,106;Haller-04_PT04_167 l 2 b 13; ※
023 l 2 b 14;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1090,410,57,106;Haller-04_PT04_167 l 2 b 14; ※
023 l 2 b 15;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1162,410,73,106;Haller-04_PT04_167 l 2 b 15; ※
023 l 2 b 16;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1250,410,84,106;Haller-04_PT04_167 l 2 b 16; ※
023 l 2 b 17;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1346,410,75,106;Haller-04_PT04_167 l 2 b 17; ※
023 l 2 b 18;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1436,410,90,106;Haller-04_PT04_167 l 2 b 18; ※
023 l 2 b 19;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1543,410,77,106;Haller-04_PT04_167 l 2 b 19; ※
023 l 2 b 20;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1636,410,82,106;Haller-04_PT04_167 l 2 b 20; ※
023 l 2 b 21;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1733,410,80,106;Haller-04_PT04_167 l 2 b 21; ※
023 l 2 b 22;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1828,410,78,106;Haller-04_PT04_167 l 2 b 22; ※
023 l 2 b 23;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1920,410,62,106;Haller-04_PT04_167 l 2 b 23; ※
023 l 2 b 24;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=1998,410,82,106;Haller-04_PT04_167 l 2 b 24; ※
023 l 2 b 25;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=2098,410,103,106;Haller-04_PT04_167 l 2 b 25; ※
023 l 2 b 26;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=2215,410,84,106;Haller-04_PT04_167 l 2 b 26; ※
023 l 3 b 1;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=54,278,37,108;Haller-04_PT04_167 l 3 b 1; ※
023 l 3 b 2;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=102,278,39,108;Haller-04_PT04_167 l 3 b 2; ※
023 l 3 b 3;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=153,278,46,108;Haller-04_PT04_167 l 3 b 3; ※
023 l 3 b 4;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=212,278,44,108;Haller-04_PT04_167 l 3 b 4; ※
023 l 3 b 5;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=266,278,47,108;Haller-04_PT04_167 l 3 b 5; ※
023 l 3 b 6;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=325,278,43,108;Haller-04_PT04_167 l 3 b 6; ※
023 l 3 b 7;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=382,278,32,108;Haller-04_PT04_167 l 3 b 7; ※
023 l 3 b 8;file:Haller-04_PT04_167.djvu?djvuopts=&page=1&highlight=429,278,41,108;Haller-04_PT04_167 l 3 b 8; ※
