080 l 1 b 1;file:Wirzbięta-04u_PT11_570.djvu?djvuopts=&page=1&highlight=45,58,22,83;Wirzbięta-04u_PT11_570 l 1 b 1; ※
080 l 1 b 2;file:Wirzbięta-04u_PT11_570.djvu?djvuopts=&page=1&highlight=87,58,66,83;Wirzbięta-04u_PT11_570 l 1 b 2; ※
080 l 1 b 3;file:Wirzbięta-04u_PT11_570.djvu?djvuopts=&page=1&highlight=174,58,26,83;Wirzbięta-04u_PT11_570 l 1 b 3; ※
080 l 1 b 4;file:Wirzbięta-04u_PT11_570.djvu?djvuopts=&page=1&highlight=246,58,15,83;Wirzbięta-04u_PT11_570 l 1 b 4; ※
080 l 1 b 5;file:Wirzbięta-04u_PT11_570.djvu?djvuopts=&page=1&highlight=275,58,19,83;Wirzbięta-04u_PT11_570 l 1 b 5; ※
