070 l 1 b 1;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=27,264,53,93;Ungler2-21_PT07_362 l 1 b 1; ※
070 l 1 b 2;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=95,264,46,93;Ungler2-21_PT07_362 l 1 b 2; ※
070 l 1 b 3;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=155,264,54,93;Ungler2-21_PT07_362 l 1 b 3; ※
070 l 1 b 4;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=222,264,58,93;Ungler2-21_PT07_362 l 1 b 4; ※
070 l 1 b 5;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=290,264,44,93;Ungler2-21_PT07_362 l 1 b 5; ※
070 l 1 b 6;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=348,264,40,93;Ungler2-21_PT07_362 l 1 b 6; ※
070 l 1 b 7;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=395,264,59,93;Ungler2-21_PT07_362 l 1 b 7; ※
070 l 1 b 8;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=466,264,69,93;Ungler2-21_PT07_362 l 1 b 8; ※
070 l 1 b 9;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=550,264,23,93;Ungler2-21_PT07_362 l 1 b 9; ※
070 l 1 b 10;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=587,264,44,93;Ungler2-21_PT07_362 l 1 b 10; ※
070 l 1 b 11;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=642,264,71,93;Ungler2-21_PT07_362 l 1 b 11; ※
070 l 1 b 12;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=727,264,62,93;Ungler2-21_PT07_362 l 1 b 12; ※
070 l 1 b 13;file:Ungler2-21_PT07_362.djvu?djvuopts=&page=1&highlight=801,264,68,93;Ungler2-21_PT07_362 l 1 b 13; ※
