045 l 1 b 1;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=54,251,48,80;Ungler1-04_PT03_115 l 1 b 1; ※
045 l 1 b 2;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=133,251,65,80;Ungler1-04_PT03_115 l 1 b 2; ※
045 l 1 b 3;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=230,251,45,80;Ungler1-04_PT03_115 l 1 b 3; ※
045 l 1 b 4;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=306,251,58,80;Ungler1-04_PT03_115 l 1 b 4; ※
045 l 1 b 5;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=396,251,47,80;Ungler1-04_PT03_115 l 1 b 5; ※
045 l 1 b 6;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=476,251,34,80;Ungler1-04_PT03_115 l 1 b 6; ※
045 l 1 b 7;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=543,251,59,80;Ungler1-04_PT03_115 l 1 b 7; ※
045 l 1 b 8;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=633,251,75,80;Ungler1-04_PT03_115 l 1 b 8; ※
045 l 1 b 9;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=742,251,40,80;Ungler1-04_PT03_115 l 1 b 9; ※
045 l 1 b 10;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=812,251,54,80;Ungler1-04_PT03_115 l 1 b 10; ※
045 l 1 b 11;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=899,251,42,80;Ungler1-04_PT03_115 l 1 b 11; ※
045 l 1 b 12;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=970,251,75,80;Ungler1-04_PT03_115 l 1 b 12; ※
045 l 1 b 13;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1077,251,68,80;Ungler1-04_PT03_115 l 1 b 13; ※
045 l 1 b 14;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1176,251,49,80;Ungler1-04_PT03_115 l 1 b 14; ※
045 l 1 b 15;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1259,251,19,80;Ungler1-04_PT03_115 l 1 b 15; ※
045 l 1 b 16;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1280,251,42,80;Ungler1-04_PT03_115 l 1 b 16; ※
045 l 1 b 17;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1357,251,56,80;Ungler1-04_PT03_115 l 1 b 17; ※
045 l 1 b 18;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1449,251,62,80;Ungler1-04_PT03_115 l 1 b 18; ※
045 l 1 b 19;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1542,251,52,80;Ungler1-04_PT03_115 l 1 b 19; ※
045 l 1 b 20;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1625,251,52,80;Ungler1-04_PT03_115 l 1 b 20; ※
045 l 1 b 21;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1708,251,64,80;Ungler1-04_PT03_115 l 1 b 21; ※
045 l 1 b 22;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1802,251,48,80;Ungler1-04_PT03_115 l 1 b 22; ※
045 l 1 b 23;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1881,251,48,80;Ungler1-04_PT03_115 l 1 b 23; ※
045 l 1 b 24;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1959,251,42,80;Ungler1-04_PT03_115 l 1 b 24; ※
045 l 2 b 1;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=69,156,26,82;Ungler1-04_PT03_115 l 2 b 1; ※
045 l 2 b 2;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=123,156,29,82;Ungler1-04_PT03_115 l 2 b 2; ※
045 l 2 b 3;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=180,156,31,82;Ungler1-04_PT03_115 l 2 b 3; ※
045 l 2 b 4;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=240,156,24,82;Ungler1-04_PT03_115 l 2 b 4; ※
045 l 2 b 5;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=294,156,34,82;Ungler1-04_PT03_115 l 2 b 5; ※
045 l 2 b 6;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=359,156,29,82;Ungler1-04_PT03_115 l 2 b 6; ※
045 l 2 b 7;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=419,156,30,82;Ungler1-04_PT03_115 l 2 b 7; ※
045 l 2 b 8;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=478,156,21,82;Ungler1-04_PT03_115 l 2 b 8; ※
045 l 2 b 9;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=529,156,22,82;Ungler1-04_PT03_115 l 2 b 9; ※
045 l 2 b 10;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=582,156,21,82;Ungler1-04_PT03_115 l 2 b 10; ※
045 l 2 b 11;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=634,156,34,82;Ungler1-04_PT03_115 l 2 b 11; ※
045 l 2 b 12;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=698,156,31,82;Ungler1-04_PT03_115 l 2 b 12; ※
045 l 2 b 13;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=763,156,33,82;Ungler1-04_PT03_115 l 2 b 13; ※
045 l 2 b 14;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=827,156,18,82;Ungler1-04_PT03_115 l 2 b 14; ※
045 l 2 b 15;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=871,156,28,82;Ungler1-04_PT03_115 l 2 b 15; ※
045 l 2 b 16;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=930,156,12,82;Ungler1-04_PT03_115 l 2 b 16; ※
045 l 2 b 17;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=974,156,44,82;Ungler1-04_PT03_115 l 2 b 17; ※
045 l 2 b 18;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1054,156,47,82;Ungler1-04_PT03_115 l 2 b 18; ※
045 l 2 b 19;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1130,156,30,82;Ungler1-04_PT03_115 l 2 b 19; ※
045 l 2 b 20;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1186,156,32,82;Ungler1-04_PT03_115 l 2 b 20; ※
045 l 2 b 21;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1250,156,29,82;Ungler1-04_PT03_115 l 2 b 21; ※
045 l 2 b 22;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1309,156,28,82;Ungler1-04_PT03_115 l 2 b 22; ※
045 l 2 b 23;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1369,156,33,82;Ungler1-04_PT03_115 l 2 b 23; ※
045 l 2 b 24;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1434,156,31,82;Ungler1-04_PT03_115 l 2 b 24; ※
045 l 2 b 25;file:Ungler1-04_PT03_115.djvu?djvuopts=&page=1&highlight=1496,156,33,82;Ungler1-04_PT03_115 l 2 b 25; ※
