044 l 1 b 1;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=43,442,44,69;Ungler1-03_PT03_114 l 1 b 1; ※
044 l 1 b 2;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=122,442,62,69;Ungler1-03_PT03_114 l 1 b 2; ※
044 l 1 b 3;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=216,442,34,69;Ungler1-03_PT03_114 l 1 b 3; ※
044 l 1 b 4;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=282,442,37,69;Ungler1-03_PT03_114 l 1 b 4; ※
044 l 1 b 5;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=345,442,56,69;Ungler1-03_PT03_114 l 1 b 5; ※
044 l 1 b 6;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=435,442,31,69;Ungler1-03_PT03_114 l 1 b 6; ※
044 l 1 b 7;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=499,442,27,69;Ungler1-03_PT03_114 l 1 b 7; ※
044 l 1 b 8;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=560,442,44,69;Ungler1-03_PT03_114 l 1 b 8; ※
044 l 1 b 9;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=634,442,58,69;Ungler1-03_PT03_114 l 1 b 9; ※
044 l 1 b 10;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=721,442,32,69;Ungler1-03_PT03_114 l 1 b 10; ※
044 l 1 b 11;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=786,442,41,69;Ungler1-03_PT03_114 l 1 b 11; ※
044 l 1 b 12;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=862,442,43,69;Ungler1-03_PT03_114 l 1 b 12; ※
044 l 1 b 13;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=938,442,29,69;Ungler1-03_PT03_114 l 1 b 13; ※
044 l 1 b 14;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=970,442,32,69;Ungler1-03_PT03_114 l 1 b 14; ※
044 l 1 b 15;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1032,442,53,69;Ungler1-03_PT03_114 l 1 b 15; ※
044 l 1 b 16;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1119,442,56,69;Ungler1-03_PT03_114 l 1 b 16; ※
044 l 1 b 17;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1206,442,19,69;Ungler1-03_PT03_114 l 1 b 17; ※
044 l 1 b 18;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1228,442,42,69;Ungler1-03_PT03_114 l 1 b 18; ※
044 l 1 b 19;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1302,442,59,69;Ungler1-03_PT03_114 l 1 b 19; ※
044 l 1 b 20;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1396,442,22,69;Ungler1-03_PT03_114 l 1 b 20; ※
044 l 1 b 21;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1421,442,32,69;Ungler1-03_PT03_114 l 1 b 21; ※
044 l 1 b 22;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1488,442,53,69;Ungler1-03_PT03_114 l 1 b 22; ※
044 l 1 b 23;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1577,442,49,69;Ungler1-03_PT03_114 l 1 b 23; ※
044 l 1 b 24;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1663,442,48,69;Ungler1-03_PT03_114 l 1 b 24; ※
044 l 1 b 25;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1749,442,51,69;Ungler1-03_PT03_114 l 1 b 25; ※
044 l 1 b 26;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1832,442,36,69;Ungler1-03_PT03_114 l 1 b 26; ※
044 l 2 b 1;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=48,346,20,71;Ungler1-03_PT03_114 l 2 b 1; ※
044 l 2 b 2;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=99,346,30,71;Ungler1-03_PT03_114 l 2 b 2; ※
044 l 2 b 3;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=162,346,22,71;Ungler1-03_PT03_114 l 2 b 3; ※
044 l 2 b 4;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=213,346,29,71;Ungler1-03_PT03_114 l 2 b 4; ※
044 l 2 b 5;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=272,346,25,71;Ungler1-03_PT03_114 l 2 b 5; ※
044 l 2 b 6;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=325,346,17,71;Ungler1-03_PT03_114 l 2 b 6; ※
044 l 2 b 7;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=371,346,19,71;Ungler1-03_PT03_114 l 2 b 7; ※
044 l 2 b 8;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=420,346,23,71;Ungler1-03_PT03_114 l 2 b 8; ※
044 l 2 b 9;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=469,346,21,71;Ungler1-03_PT03_114 l 2 b 9; ※
044 l 2 b 10;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=523,346,27,71;Ungler1-03_PT03_114 l 2 b 10; ※
044 l 2 b 11;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=580,346,27,71;Ungler1-03_PT03_114 l 2 b 11; ※
044 l 2 b 12;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=638,346,26,71;Ungler1-03_PT03_114 l 2 b 12; ※
044 l 2 b 13;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=698,346,27,71;Ungler1-03_PT03_114 l 2 b 13; ※
044 l 2 b 14;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=758,346,29,71;Ungler1-03_PT03_114 l 2 b 14; ※
044 l 2 b 15;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=818,346,19,71;Ungler1-03_PT03_114 l 2 b 15; ※
044 l 2 b 16;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=869,346,19,71;Ungler1-03_PT03_114 l 2 b 16; ※
044 l 2 b 17;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=917,346,19,71;Ungler1-03_PT03_114 l 2 b 17; ※
044 l 2 b 18;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=965,346,17,71;Ungler1-03_PT03_114 l 2 b 18; ※
044 l 2 b 19;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1007,346,28,71;Ungler1-03_PT03_114 l 2 b 19; ※
044 l 2 b 20;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1063,346,27,71;Ungler1-03_PT03_114 l 2 b 20; ※
044 l 2 b 21;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1114,346,28,71;Ungler1-03_PT03_114 l 2 b 21; ※
044 l 2 b 22;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1167,346,26,71;Ungler1-03_PT03_114 l 2 b 22; ※
044 l 2 b 23;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1216,346,26,71;Ungler1-03_PT03_114 l 2 b 23; ※
044 l 2 b 24;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1269,346,11,71;Ungler1-03_PT03_114 l 2 b 24; ※
044 l 2 b 25;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1309,346,15,71;Ungler1-03_PT03_114 l 2 b 25; ※
044 l 2 b 26;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1354,346,13,71;Ungler1-03_PT03_114 l 2 b 26; ※
044 l 2 b 27;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1394,346,15,71;Ungler1-03_PT03_114 l 2 b 27; ※
044 l 2 b 28;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1436,346,16,71;Ungler1-03_PT03_114 l 2 b 28; ※
044 l 2 b 29;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1481,346,22,71;Ungler1-03_PT03_114 l 2 b 29; ※
044 l 2 b 30;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1529,346,27,71;Ungler1-03_PT03_114 l 2 b 30; ※
044 l 2 b 31;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1586,346,10,71;Ungler1-03_PT03_114 l 2 b 31; ※
044 l 2 b 32;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1624,346,22,71;Ungler1-03_PT03_114 l 2 b 32; ※
044 l 2 b 33;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1672,346,40,71;Ungler1-03_PT03_114 l 2 b 33; ※
044 l 2 b 34;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1746,346,41,71;Ungler1-03_PT03_114 l 2 b 34; ※
044 l 2 b 35;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=1825,346,42,71;Ungler1-03_PT03_114 l 2 b 35; ※
044 l 3 b 1;file:Ungler1-03_PT03_114.djvu?djvuopts=&page=1&highlight=46,248,24,71;Ungler1-03_PT03_114 l 3 b 1; ※
