064 l 1 b 1;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=39,415,52,79;Ungler2-15_PT07_358 l 1 b 1; ※
064 l 1 b 2;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=104,415,63,79;Ungler2-15_PT07_358 l 1 b 2; ※
064 l 1 b 3;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=181,415,46,79;Ungler2-15_PT07_358 l 1 b 3; ※
064 l 1 b 4;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=239,415,50,79;Ungler2-15_PT07_358 l 1 b 4; ※
064 l 1 b 5;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=302,415,53,79;Ungler2-15_PT07_358 l 1 b 5; ※
064 l 1 b 6;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=366,415,37,79;Ungler2-15_PT07_358 l 1 b 6; ※
064 l 1 b 7;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=420,415,33,79;Ungler2-15_PT07_358 l 1 b 7; ※
064 l 1 b 8;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=462,415,48,79;Ungler2-15_PT07_358 l 1 b 8; ※
064 l 1 b 9;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=519,415,57,79;Ungler2-15_PT07_358 l 1 b 9; ※
064 l 1 b 10;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=594,415,22,79;Ungler2-15_PT07_358 l 1 b 10; ※
064 l 1 b 11;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=629,415,35,79;Ungler2-15_PT07_358 l 1 b 11; ※
064 l 1 b 12;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=676,415,62,79;Ungler2-15_PT07_358 l 1 b 12; ※
064 l 1 b 13;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=752,415,48,79;Ungler2-15_PT07_358 l 1 b 13; ※
064 l 1 b 14;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=813,415,59,79;Ungler2-15_PT07_358 l 1 b 14; ※
064 l 1 b 15;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=888,415,42,79;Ungler2-15_PT07_358 l 1 b 15; ※
064 l 1 b 16;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=940,415,91,79;Ungler2-15_PT07_358 l 1 b 16; ※
064 l 1 b 17;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=1049,415,47,79;Ungler2-15_PT07_358 l 1 b 17; ※
064 l 1 b 18;file:Ungler2-15_PT07_358.djvu?djvuopts=&page=1&highlight=1111,415,36,79;Ungler2-15_PT07_358 l 1 b 18; ※
