046 l 1 b 1;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=34,218,52,69;Ungler1-05_PT03_116 l 1 b 1; ※
046 l 1 b 2;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=95,218,66,69;Ungler1-05_PT03_116 l 1 b 2; ※
046 l 1 b 3;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=167,218,47,69;Ungler1-05_PT03_116 l 1 b 3; ※
046 l 1 b 4;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=225,218,53,69;Ungler1-05_PT03_116 l 1 b 4; ※
046 l 1 b 5;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=290,218,44,69;Ungler1-05_PT03_116 l 1 b 5; ※
046 l 1 b 6;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=348,218,30,69;Ungler1-05_PT03_116 l 1 b 6; ※
046 l 1 b 7;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=387,218,55,69;Ungler1-05_PT03_116 l 1 b 7; ※
046 l 1 b 8;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=450,218,72,69;Ungler1-05_PT03_116 l 1 b 8; ※
046 l 1 b 9;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=535,218,40,69;Ungler1-05_PT03_116 l 1 b 9; ※
046 l 1 b 10;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=584,218,48,69;Ungler1-05_PT03_116 l 1 b 10; ※
046 l 1 b 11;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=640,218,56,69;Ungler1-05_PT03_116 l 1 b 11; ※
046 l 1 b 12;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=709,218,41,69;Ungler1-05_PT03_116 l 1 b 12; ※
046 l 1 b 13;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=757,218,77,69;Ungler1-05_PT03_116 l 1 b 13; ※
046 l 1 b 14;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=839,218,68,69;Ungler1-05_PT03_116 l 1 b 14; ※
046 l 1 b 15;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=925,218,52,69;Ungler1-05_PT03_116 l 1 b 15; ※
046 l 1 b 16;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=985,218,67,69;Ungler1-05_PT03_116 l 1 b 16; ※
046 l 1 b 17;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1062,218,36,69;Ungler1-05_PT03_116 l 1 b 17; ※
046 l 1 b 18;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1111,218,116,69;Ungler1-05_PT03_116 l 1 b 18; ※
046 l 1 b 19;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1236,218,54,69;Ungler1-05_PT03_116 l 1 b 19; ※
046 l 1 b 20;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1298,218,50,69;Ungler1-05_PT03_116 l 1 b 20; ※
046 l 1 b 21;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1351,218,62,69;Ungler1-05_PT03_116 l 1 b 21; ※
046 l 1 b 22;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1423,218,45,69;Ungler1-05_PT03_116 l 1 b 22; ※
046 l 1 b 23;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=1478,218,40,69;Ungler1-05_PT03_116 l 1 b 23; ※
046 l 2 b 1;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=34,126,28,71;Ungler1-05_PT03_116 l 2 b 1; ※
