033 l 2 b 15;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1209,470,54,175;Hochfeder-02_PT01_020bis l 2 b 15; ※
033 l 2 b 16;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1280,470,51,175;Hochfeder-02_PT01_020bis l 2 b 16; ※
033 l 2 b 17;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1345,470,232,175;Hochfeder-02_PT01_020bis l 2 b 17; ※
033 l 2 b 18;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1595,470,75,175;Hochfeder-02_PT01_020bis l 2 b 18; ※
033 l 2 b 19;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1678,470,77,175;Hochfeder-02_PT01_020bis l 2 b 19; ※
033 l 2 b 20;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1767,470,74,175;Hochfeder-02_PT01_020bis l 2 b 20; ※
033 l 2 b 21;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1857,470,82,175;Hochfeder-02_PT01_020bis l 2 b 21; ※
033 l 2 b 22;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=1950,470,72,175;Hochfeder-02_PT01_020bis l 2 b 22; ※
033 l 2 b 23;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2031,470,71,175;Hochfeder-02_PT01_020bis l 2 b 23; ※
033 l 2 b 24;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2113,470,73,175;Hochfeder-02_PT01_020bis l 2 b 24; ※
033 l 2 b 25;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2200,470,74,175;Hochfeder-02_PT01_020bis l 2 b 25; ※
033 l 2 b 26;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2287,470,34,175;Hochfeder-02_PT01_020bis l 2 b 26; ※
033 l 2 b 27;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2335,470,43,175;Hochfeder-02_PT01_020bis l 2 b 27; ※
033 l 2 b 28;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2392,470,61,175;Hochfeder-02_PT01_020bis l 2 b 28; ※
033 l 2 b 29;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2470,470,24,175;Hochfeder-02_PT01_020bis l 2 b 29; ※
033 l 2 b 30;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2496,470,32,175;Hochfeder-02_PT01_020bis l 2 b 30; ※
033 l 2 b 31;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2545,470,32,175;Hochfeder-02_PT01_020bis l 2 b 31; ※
033 l 2 b 32;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2592,470,30,175;Hochfeder-02_PT01_020bis l 2 b 32; ※
033 l 2 b 33;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2635,470,57,175;Hochfeder-02_PT01_020bis l 2 b 33; ※
033 l 2 b 34;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2700,470,112,175;Hochfeder-02_PT01_020bis l 2 b 34; ※
033 l 2 b 35;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2825,470,106,175;Hochfeder-02_PT01_020bis l 2 b 35; ※
033 l 2 b 36;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=2944,470,106,175;Hochfeder-02_PT01_020bis l 2 b 36; ※
033 l 2 b 37;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=3065,470,64,175;Hochfeder-02_PT01_020bis l 2 b 37; ※
033 l 2 b 38;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=3141,470,64,175;Hochfeder-02_PT01_020bis l 2 b 38; ※
033 l 3 b 1;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=17,269,67,167;Hochfeder-02_PT01_020bis l 3 b 1; ※
033 l 3 b 2;file:Hochfeder-02_PT01_020bis.djvu?djvuopts=&page=1&highlight=94,269,70,167;Hochfeder-02_PT01_020bis l 3 b 2; ※
