061 l 1 b 1;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=17,122,105,141;Ungler2-12_PT05_243 l 1 b 1; ※
061 l 1 b 2;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=147,122,103,141;Ungler2-12_PT05_243 l 1 b 2; ※
061 l 1 b 3;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=271,122,102,141;Ungler2-12_PT05_243 l 1 b 3; ※
061 l 1 b 4;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=394,122,107,141;Ungler2-12_PT05_243 l 1 b 4; ※
061 l 1 b 5;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=523,122,123,141;Ungler2-12_PT05_243 l 1 b 5; ※
061 l 1 b 6;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=663,122,109,141;Ungler2-12_PT05_243 l 1 b 6; ※
061 l 1 b 7;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=795,122,111,141;Ungler2-12_PT05_243 l 1 b 7; ※
061 l 1 b 8;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=933,122,44,141;Ungler2-12_PT05_243 l 1 b 8; ※
061 l 1 b 9;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=996,122,103,141;Ungler2-12_PT05_243 l 1 b 9; ※
061 l 1 b 10;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1117,122,134,141;Ungler2-12_PT05_243 l 1 b 10; ※
061 l 1 b 11;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1277,122,130,141;Ungler2-12_PT05_243 l 1 b 11; ※
061 l 1 b 12;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1431,122,109,141;Ungler2-12_PT05_243 l 1 b 12; ※
061 l 1 b 13;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1555,122,93,141;Ungler2-12_PT05_243 l 1 b 13; ※
061 l 1 b 14;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1665,122,117,141;Ungler2-12_PT05_243 l 1 b 14; ※
061 l 1 b 15;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1802,122,98,141;Ungler2-12_PT05_243 l 1 b 15; ※
061 l 1 b 16;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=1923,122,74,141;Ungler2-12_PT05_243 l 1 b 16; ※
061 l 1 b 17;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=2017,122,118,141;Ungler2-12_PT05_243 l 1 b 17; ※
061 l 1 b 18;file:Ungler2-12_PT05_243.djvu?djvuopts=&page=1&highlight=2154,122,114,141;Ungler2-12_PT05_243 l 1 b 18; ※
